Meaning,Kanji,Kana,Lesson,vocabulary_kanji,lesson_col,index
wind,風,かぜ,22,風,21,435
worried about,心配,しんぱい,22,心配,21,436
to make a plan,計画を立てる,けいかくをたてる,22,計画立,21,437
bank,銀行,ぎんこう,2,銀行,22,438
weekend,週末,しゅうまつ,3,週末,22,439
to wait,待つ,まつ,4,待,22,440
to forget; to leave behind,忘れる,わすれる,6,忘,22,441
black,黒い,くろい,9,黒,22,442
station,駅,えき,10,駅,22,443
best,一番,いちばん,10,一番,22,444
business to take care of,用事,ようじ,12,用事,22,445
station attendant,駅員,えきいん,16,駅員,22,446
to show (someone) around,案内する,あんないする,16,案内,22,447
to explain,説明する,せつめいする,16,説明,22,448
overtime work,残業,ざんぎょう,17,残業,22,449
diary,日記,にっき,18,日記,22,450
evening,夕方,ゆうがた,18,夕方,22,451
answering machine,留守番電話,るすばんでんわ,18,留守番電話,22,452
novel,小説,しょうせつ,20,小説,22,453
to keep (someone) waiting,待たせる,またせる,20,待,22,454
absence; not at home,留守,るす,21,留守,22,455
dinner,夕食,ゆうしょく,23,夕食,22,456
to turn; to revolve,回る,まわる,24,回,22,457
looking after a house during one's absence,留守番,るすばん,23,留守番,22,458
tough (situation),大変,たいへん（な）,6,大変,23,459
face,顔,かお,10,顔,23,460
sad,悲しい,かなしい,13,悲,23,461
to be moved/touched (by ...),感動する,かんどうする,13,感動,23,462
to look into (a matter),調べる,しらべる,15,調,23,463
difference,違い,ちがい,17,違,23,464
compared with ...,〜に比べて,〜にくらべて,17,比,23,465
culture,文化,ぶんか,19,文化,23,466
mistake,間違い,まちがい,19,間違,23,467
to get angry,怒る,おこる,19,怒,23,468
to make a mistake,間違える,まちがえる,21,間違,23,469
partner,相手,あいて,22,相手,23,470
strange; unusual,変,へん,22,変,23,471
to be different; wrong,違う,ちがう,23,違,23,472
to look ...(facial expression),〜顔をする,〜かおをする,23,顔,23,473
to sympathize,同情する,どうじょうする,23,同情,23,474
