,Unnamed: 0,Kana,Kanji,Meaning,Lesson,vocabulary_kanji,lesson_col
557,773,のりおくれる,乗り遅れる,"to miss (a train, bus, etc.)",16,乗遅,21
649,904,おくる,送る,to walk/drive (someone),19,送,21
660,918,おくれる,遅れる,to become late,19,遅,21
682,951,おもい,重い,heavy; serious (illness),20,重,21
747,1045,かぜ,風,wind,22,風,21
762,1063,しんぱい,心配,worried about,22,心配,21
775,1077,けいかくをたてる,計画を立てる,to make a plan,22,計画立,21
61,91,ぎんこう,銀行,bank,2,銀行,22
82,130,しゅうまつ,週末,weekend,3,週末,22
132,198,まつ,待つ,to wait,4,待,22
220,315,わすれる,忘れる,to forget; to leave behind,6,忘,22
312,441,くろい,黒い,black,9,黒,22
338,470,えき,駅,station,10,駅,22
367,506,いちばん,一番,best,10,一番,22
412,577,ようじ,用事,business to take care of,12,用事,22
534,746,えきいん,駅員,station attendant,16,駅員,22
560,776,あんないする,案内する,to show (someone) around,16,案内,22
561,777,せつめいする,説明する,to explain,16,説明,22
575,798,ざんぎょう,残業,overtime work,17,残業,22
602,845,にっき,日記,diary,18,日記,22
604,848,ゆうがた,夕方,evening,18,夕方,22
605,850,るすばんでんわ,留守番電話,answering machine,18,留守番電話,22
678,944,しょうせつ,小説,novel,20,小説,22
695,968,またせる,待たせる,to keep (someone) waiting,20,待,22
718,1003,るす,留守,absence; not at home,21,留守,22
800,1110,ゆうしょく,夕食,dinner,23,夕食,22
802,1112,るすばん,留守番,looking after a house during one's absence,23,留守番,22
