,Kana,Kanji,Meaning,Lesson,vocabulary_kanji
864,しまる,閉まる,(something) closes,18,閉
865,たすかる,助かる,to be saved; to be helped,18,助
866,たのむ,頼む,to ask (a favor),18,頼
868,よごす,汚す,to make dirty,18,汚
869,おちる,落ちる,(something) drops,18,落
870,かんがえる,考える,to think (about); to consider,18,考
871,きえる,消える,(something) goes off,18,消
872,こわれる,壊れる,(something) breaks,18,壊
873,よごれる,汚れる,to become dirty,18,汚
874,ちゅうもんする,注文する,to place an order,18,注文
875,いますぐ,今すぐ,right away,18,今
877,おさきにしつれいします,お先に失礼します,"See you. (lit., I'm leaving ahead of you.)",18,先失礼
878,おつかれさまでした,お疲れ様でした,You must be tired after working so hard. (ritualistic expression),18,疲様
879,ほんとうに,本当に,really,18,本当
883,しょうたいする,招待する,to invite someone (to an event/a place),19,招待
884,おくさま,奥様,(your/his) wife (polite),19,奥様
885,おこさん,お子さん,(your/their) child (polite),19,子
886,おれい,お礼,expression of gratitude,19,礼
887,けいご,敬語,honorific language,19,敬語
889,しゅっちょう,出張,business trip,19,出張
890,しゅるい,種類,a kind; a sort,19,種類
891,せいかく,性格,personality,19,性格
892,ちゅうがくせい,中学生,junior high school student,19,中学生
894,なまけもの,怠け者,lazy person,19,怠者
895,なやみ,悩み,worry,19,悩
896,はずかしがりや,恥ずかしがり屋,shy person,19,恥屋
897,はなし,話,chat; talk,19,話
898,ぶちょう,部長,department manager,19,部長
899,ぶんか,文化,culture,19,文化
900,まちがい,間違い,mistake,19,間違
901,なかがいい,仲がいい,be on good/close terms; to get along well,19,仲
